symbol,threshold,stop_loss_pct,is_ret,oos_ret,is_trades,oos_trades
AAPL,0.2,0.0,-0.19015180000000464,0.5682637030000048,25,17
AAPL,0.2,0.03,-0.4660565440000042,0.45704707800000577,32,17
AAPL,0.2,0.05,-0.5371129900000104,0.5582667030000099,31,17
AAPL,0.2,0.08,-0.1613115100000062,0.5682637030000048,28,17
AAPL,0.2,0.1,-0.11667384999999308,0.5682637030000048,25,17
AAPL,0.3,0.0,-0.21775274999999983,0.08454656000000949,11,9
AAPL,0.3,0.03,-0.2355334799999942,-0.44739381000000744,15,9
AAPL,0.3,0.05,-0.46140907999999703,-0.11144462500000119,15,9
AAPL,0.3,0.08,-0.4171217500000046,0.08454656000000949,13,9
AAPL,0.3,0.1,-0.4808744099999984,0.08454656000000949,13,9
AAPL,0.4,0.0,-0.002256074999995583,-0.23316143999999595,7,2
AAPL,0.4,0.03,0.03890065000000664,-0.09320344000000036,9,2
AAPL,0.4,0.05,0.06347614499999654,-0.1430884700000079,11,2
AAPL,0.4,0.08,-0.09247781500000274,-0.2381599399999934,9,2
AAPL,0.4,0.1,-0.18618180499999637,-0.23316143999999595,9,2
AAPL,0.5,0.0,0.642954565000009,0.3939845699999944,4,1
AAPL,0.5,0.03,0.642954565000009,-0.09320344000000036,4,2
AAPL,0.5,0.05,0.6138632949999945,-0.1430884700000079,4,2
AAPL,0.5,0.08,0.5179920650000058,-0.2381599399999934,4,2
AAPL,0.5,0.1,0.5179920650000058,0.3939845699999944,4,1
MSFT,0.1,0.0,0.7661080999999959,0.27999089499999297,65,41
MSFT,0.1,0.03,0.9326730149999962,0.26126489500000183,79,49
MSFT,0.1,0.05,0.9586157900000059,0.44348973999999153,69,44
MSFT,0.1,0.08,0.9988459000000116,0.2951660549999957,67,41
MSFT,0.1,0.1,0.6607261649999918,0.2461807550000028,67,41
MSFT,0.2,0.0,0.8294582700000053,0.5023455849999969,33,19
MSFT,0.2,0.03,0.1540986950000045,0.8857449349999991,42,23
MSFT,0.2,0.05,-0.025760534999996754,0.8453004049999935,36,21
MSFT,0.2,0.08,0.24465831500000146,0.49744705499998876,36,19
MSFT,0.2,0.1,0.10555005999999256,0.49744705499998876,36,19
MSFT,0.3,0.0,0.3878029000000005,0.755008079999997,14,7
MSFT,0.3,0.03,0.4744768899999974,0.7297848349999914,14,17
MSFT,0.3,0.05,0.4209429549999921,0.6050650449999972,14,15
MSFT,0.3,0.08,0.3878029000000005,0.23071993499999,14,13
MSFT,0.3,0.1,0.3878029000000005,0.2295125600000114,14,11
MSFT,0.4,0.0,1.2410829000000012,1.2846993199999934,1,2
MSFT,0.4,0.03,0.8368007000000066,0.8787961099999908,3,6
MSFT,0.4,0.05,0.7416292600000096,0.686896250000002,3,4
MSFT,0.4,0.08,0.610668560000005,0.3180069499999938,3,4
MSFT,0.4,0.1,0.455215210000004,0.3180069499999938,3,4
MSFT,0.5,0.0,0.726628610000013,0.0,1,0
MSFT,0.5,0.03,0.726628610000013,0.0,1,0
MSFT,0.5,0.05,0.726628610000013,0.0,1,0
MSFT,0.5,0.08,0.726628610000013,0.0,1,0
MSFT,0.5,0.1,0.726628610000013,0.0,1,0
